d100,1)Evil_Items,2)Helpful_Items,3)Mixed_Items,4)Small_Items,5)Potions,6)Holy_Rings,7)Gnome_Items,8)Wild_Items,9)Good_Items,10)Powerful_Items,11)Legendary_Items
79,"The Claws of Sygman Ree - This set of clawed knuckles feels warm to the touch. They function as piercing weapons, giving a ±2 bonus to attacks and doing 1d8+St+2 damage. When wielding and attuned to them, a character can make an extra attack with the claws as part of the attack action. At the end of each round, if the character has inflicted or taken damage, the sum of which is equal or greater than the character's intelligence score, the character flies into a bestial rage the next round, unable to distinguish friend from foe. The character must move and attack the nearest available targets each round until they no longer beat their intelligence score.",Spectacles of Elven Reading - A pair of green rimmed spectacles that translates elvish text into common while wearing them. An elf made them so that he and his adopted daughter could read some elvish adventure tomes that he brought home together.,An obsidian ring that allows one individual you can see to understand you when you are speaking Thieve's Cant (Rogue).,A feather duster that dusts objects by iteself when commanded to do so.,You are able to cast a random cantrip for 1d4 days.,Cast Dispel Magic 1/Day,Flash Paper - 10 g Paper treated with alchemists' salts that ignite completely in a puff of smoke upon combustion without leaving ash. Great for secret messages and other trickery. 10 sheets of paper.,"Slaughter Brand - A three-pointed mark on your hand. When you kill a worthy opponent, one point turns darker. When all three points turn dark, your arm grows into an unnaturally strong, chitinous claw (d10 damage) for the next hour. When your arm returns, the brand resets.","Ammunition, +2",Staff of the woodlands,Vorpal sword
80,"The Bloodstar - A +2 morningstar that thirsts for blood (requires attunement). Every time the weapon does piercing damage over 10, the wielder regains 1 hp.","Stiletto of the Infiltrator, Rare (Requires Attunement) - +1 Dagger, Properties: Finesse, Light, thrown (40/80ft) While wielding this dagger in one hand and a light weapon in the other, you gain a +1 bonus to your armor class. If you impale this dagger in a surface you may, for the next minute, use a bonus action to teleport to its location as long as it is within 100ft of you. Once you use this ability it can not be used again until you finish a short or long rest.","A steel torc engraved with the image of boars. If you roll a 1 to recover hit points, you can use the torc to reroll that die. The torc can be used once per day.",A glass ornament that changes its shape into a different fruit each day.,Your skin color changes to a random color.,Cast Dissonant Whispers 2/Day,"Concentration Chewing Bark - 4 g per piece Advantage on your next Concentration roll. Loses its effectiveness after roll or one hour, whichever comes first. Comes in minty, tobacco, or meat flavors.","Noble Tumor - This visible growth absorbs the next harmful effect to enter your body, whether poison, parasite, curse, or otherwise, before dropping off.",Potion of clairvoyance,Staff of withering,Belt of cloud giant strength
81,Writ of Unfinished Business: An ancient scroll said to contain the rituals needed to bind the soul of a target creature to an area or object as an incorporeal undead. This undead is bound by this spell to follow a list of commands set by the caster and cannot pass on until they are complete.,"Strange Key - A big iron key the size of a human forearm. It can either unlock any lock once, whereupon the key shatters, or it can be used to stab one target, ignoring AC and dealing damage equal to 3x the target’s WISDOM, whereupon the key shatters.",A mirror that can grow and shrink from hand-sized to full length.,A silver bracelet in the shape of a snake that slowly curls and moves around the arm.,You feel like you have springs in your feet! You can jump four times your normal jumping height for 1d4 hours.,Cast Enlarge/Reduce 1/Day,"Crystal Ball: Four types of crystal balls are available, Fog, Grease, Flash, or Bang: Fog - 30 g Thrown. Obscures vision in a 20’ area with fog, centered on point of impact. Lasts 5 rounds or dissipated by a strong wind. Grease - 15 g Thrown. Flammable. Covers a 5’ square or targeted opponent Med or smaller with grease. Dc 12 Dex save to remain standing vs falling prone. Washes away with water or after being submerged. Flash - 15 g Thrown. Upon breakage, creates a bright flash of light. Creatures with eyes must make a DC 10 CON save or be blinded for 2 rounds. Bang - 30 g Thrown. Upon breakage, a loud noise erupts. Creatures that can hear must make a DC 10 CON save or suffer 1d6 thunder damage and be deafened for 2 rounds. A successful save halves the damage and prevents deafness.","Blank Contract - A contract with blank parts. Can be modified into any sort of deal you wish. The first party to break the contract is blasted with a beam from above (d12, ignore armour) and the contract dissolves into shredded parchment.",Potion of diminution,Stone of controlling earthelementals,Ring of fire elemental command
82,"The Mazemaker - When placed in a manmade structure, this orb elongates hallways, enlarges rooms, and causes towers, vestibules, secret passages, and dead-end stairways to sprout like a cancer. Shatters easily, turning the room into a virtually inescapable Escher-like fractal labyrinth about 1000 feet in diameter.","Stronmaus’ Laughing Amulet - The amulet carries the image of a stylized human face, mouth laughing. Whenever a foe is defeated, the wearer may activate the amulet by tapping it twice and then delivering the best taunting joke or victorious one-liner applicable to the current situation. If the jest pleases Stronmaus, he rewards the adventurer by recharging up to 1d10+Con HP. But Stronmaus is a fickle god; jokes that fail are punished with 1d6 lightning damage.","A ceramic jar, that changes sand into salt in 24 hours.",A holy symbol which recites the beliefs or tenets of the deity it belongs to.,The potion gives you resistance to acid damage for 1d4 hours.,Cast Faerie Fire 1/Day,"Tweak Tincture - 75 g A dark oily liquid infused with dried and toasted berries from a jungle tree all in a stoppered leather flask. It is bitter and smells like wet dirt. During a long rest, a single creature may consume a dose at the beginning of their watch to reroll 1s and 2s on perception rolls and are considered to have 4D8 additional hit points against the sleep spell or sleep poisons for three hours. At the end of duration, the creature must make a DC15 constitution saving throw. On a failure, the creature is unable to sleep until the beginning of the next long rest (except by magical means). 1 to 5 on the die, the creature is also cranky. Comes with 3 Doses.",Utility Orb - Any tool that could plausibly exist in a mundane pocket-knife has a 50% chance of existing in this orb. Keep a track of what tools it does and doesn't have.,Potion of gaseous form,Sun blade,"Armor, +3 chain mail"
83,"Zakiir's Blade of Balance- A worn scimitar with a scratched brass pommel. A scale is etched into the pommel, and ""Everything has a cost someone must pay"" written on one side of the blade in Elven. The blade scores a critical hit on a roll of 18-20 and does an extra 3d6 damage on a critical hit. Every time a critical hit is scored, the same amount of damage is done to a random individual somewhere on the plane. This amount is, usually, enough to kill a normal civilian.","""Surge"" or Sent's Resonant Gauntlets - Wondrous item, rare (requires attunement by a monk) These soft leather gauntlets are interwoven with wires of copper and precious metal, and you feel a strange hum of energy as you don them. While wearing these gauntlets, your unarmed strike deals an extra 1d4 lightning damage on a successful hit, and you gain resistance to lightning damage. Additionally, when you are subjected to lightning damage, you can use your reaction to channel the energy through the gauntlets. When you do so, the damage you take is reduced by 1d10 + your Wisdom modifier + your monk level. If you reduce the damage to zero, you can wield the energy for your own attack. You can spend 1 ki point to make a ranged spell attack with the lightning energy you caught, as part of the same reaction. You make the attack with proficiency, the attack inflicts lightning damage equal to your unarmed strike damage die + your Wisdom modifier, and it has a normal range of 20 feet and a long range of 60 feet.","A nightcap that allows for a deep rest, allowing someone to regain 2 points of exhaustion after a single long rest. The nightcaps needs a week to recharge before it can grant this benefit again.",An hourglass in which the sand flows upward.,You grow a beautiful ginger beard down to your knees.,Cast Featherfall 1/Day,"Antidote to Specific Drug or Poison Once consumed it stops all damage overtime effect and all debilitating effects of ""x"" type of poison. User becomes immune to the specific type of poison for 1d4 hours.","Cocoon Wax - Anything covered in this wax is sealed off in a cocoon. After 24 hours it bursts free as a winged, hostile version of its previous self. One use.",Potion of frost giant strength,Sword of life stealing,"Armor, +3 chain shirt"
84,"The Shy Lock - A set of common lock picks. Using them will give a +10 advantage to picking locks, but also randomly and permanently alter where the door leads. The user will have to pick thousands of locks to get to where you were originally trying to get to, as well as opening doorways to places better left unexplored.","Tabard of Rage - A leather Tabard made of orc skin that allows those who wear it to be able to use Rage once per day. Legends tell of the friendship between an elf ranger and an orc barbarian, whose tribe had strange funerary rites. When the orc was struck down, with his final words, he requested that he’d be turned into a tabard so he could protect his friend once more.","A lace fan. When unfolded, it floats midair and softly waves the air.","An ocarina made of bone. When played, it sounds as if a quartet of ocarinas are being played.",Your hair color changes depending on your mood.,Cast Find Traps 1/Day,"Jar of Giant Insect Pheromones - 5 g Once applied to skin or clothing the user will be treated as if they are a member of the hive for one specific hive of giant insects. Insects from that have will be friendly or neutral towards the user. If used near a different hive or a different type of insect it may or may not provoke an immediate hostile reaction. Effects last 2d6x10 minutes, There is enough in the jar to coat 2 medium sized creatures.","Plague Wart - A carefully extracted wart sealed in a jar. Anyone that touches it contracts a disgusting plague, losing d6 STR each hour. Any touch immediately spreads the plague. There is no cure that you know of.",Potion of stone giant strength,Sword of wounding,Cloak of invisibility
85,"The Croitear-Dramm Hand - A gauntlet forged from the finger of a primordial of fire and imbued with enough magic that using it would create a volcano. A wielder who mastered it learns powerful versions of fire damage spells that do lava or melting damage instead of normal fire, which ignores resistance and immunity to fire damage unless that being targeted could survive submergence in lava for an extended period. However, failure to master the Croitear-Dramm Hand usually results in a full fledged volcano growing from the spot it rests . . . and supposedly the primordial it's made from will eventually come back from one of those volcanoes . . .","Teapot of Peace - Magical teapot. If anyone is aware of the teapot being poured, they are immediately compelled to sit down and have tea (WIS vs DC 18). Works during combat. It can only be used if full of tea, which must be brewed and steeped normally.","A glass orb filled with smoke. If you concentrate on the image of a person you are familiar with, a static image of that person's face appears in the orb.",Porcelain plates that clean and stack themselves after being used.,Your AC increases by 1d4 for 1d4 hours.,Cast Jump 2/Day,Jar of Scent Blocker - 25 s Once applied the user is more difficult to smell. All creatures are at disadvantage when trying to perceive or track the user by scent.,"Ego-Mirror - A pocket mirror that functions as normal, but doesn't reflect anyone looking in.",Horseshoes of speed,Tentacle rod,Crystal ball (legendary version)
86,"Mimic Bait - This small and magical imbued rune stone can be used to attract mimics from miles away. When placed on an object and unobserved for more than one hour, one often finds the object cloned on return. Although, one of these objects is now a mimic that uses the Mimic stat block. The rune stone is consumed by the mimic and puts it to sleep for 24 hours. During this time, the mimic can be safely transported.","Ten-Gallon Hat - The 10-Gallon Hat of Hootin' an' Holerin' is a Ordinary looking Cowboy hat with the the words ""Uhh, Yee-Haw?"" Embroidered on the front. Anyone who wears the hat must succeed on a DC 15 Wisdom saving throw or be afflicted with its effects. The hat compels the wearer to Speak in a western accent, Frequently use ""YEE HAW"", will call anyone the wearers knows ""Partner"" and Unknown people ""Stranger', and replace all ""ing""s with ""in'""s, even when writing. The hat also can hold 10 gallons of liquid inside an extradimensional space when poured into the hole, much like a bag of holding. The wearer is unaware of any of the hats effects, and the wearer also gains a +3 bonus to charisma checks while being worn.","Deck of tarot cards, where the painted figures move and taunt people.",A spherical crystal which displays a swirling galaxy inside.,You create a clone of yourself every time you sneeze that lasts for 1d4 minutes.,Cast Knock 1/Day,"Prop Dagger - 5 g A blunted and dull replica of a gnomish dagger. While it certainly looks the part, the spring loaded blade compresses into the handle of the dagger when stabbing. Cannot do damage (lethal or otherwise). Great for a dramatic suicide performance or threatening an essential NPC without any fear of hurting them. Inscription on the handle reads: ”This is thy sheath; there rest and let me die”.","Fetch-Pearl - A silvery pearl that can attach to any item submerged in water. On a mental command from you, it floats to the surface, carrying whatever it is attached to. If attached to the ground, it just rips up a large chunk of it to fetch.",Potion of invulnerability,Vicious weapon,Instrument of the bards (OIIamh harp)
87,"Pouch of Fiendish Spices – An ever refilling small pouch of herbs and spices that taste disgusting and cause cramps and tummy aches. If the pouch is turned inside out, it does not refill until it is turned back again.","Time Grenade - A wind-up clock incased in a glass ball. When a character winds it up and throws it, a sphere of time dilation appears for 30 feet around the target, slowing anything inside to an almost imperceptible crawl for 3 rounds of combat, or 9 seconds. After the effect ends, the clock crashes to the ground and shatters.","A 6-inch long empty crystal coffin. When the coffin is touched to a dead body, the body is magically reduced in size and placed inside the coffin (the magical effect does NOT work on undead). The body can be released from the coffin by opening it. While in the coffin the body is under the effects of a gentle repose spell.",A fishing hook that spells of fish. When submerged in water it secretes a couple drops of blood.,You begin to vomit a swarm of angry insects. You can control them for 1d4 hours.,Cast Levitate 1/Day,"Loaded Dice - 25 g Two pairs of dwarves dice made of carved black soapstone in a carrying brass tube. While appearing almost identical, one pair has lodestone in them that magnetically attract to steel and other lodestone. A fist sized piece of iron/steel beneath a table is enough to give the player advantage on straight gambling rolls involving the dice. A DC 15 Perception check followed by a DC 19 intelligence check by the opponent will reveal to the trick.",Tiny Phantasm - A floating mass of swirling colours the size of a penny. It follows your every command and leaves a multicolour trail across any surface it touches. Cannot physically interact in any other way.,Potion of mind reading,Wand of binding,Iron flask
88,"Dane's Leaf - Shaped out of Shadows that resemble a long sharp leaf... This was once the blade of the great blight druid Dane. It has a +3 enchantment, does +3d6 against plant based life like shambling mounds. Wielding this cursed blade marks you as hostile to all nature and druids. Staying in place for more than 24 hours begins to noticeably wither all plant life within a kilometer, with trees dying within a month.","Tome of Resilience - A leather bound tome that writes out motivational quips whenever it is opened. Made for a laborer with low self esteem. Grants the reader advantage on any subsequent roll, once a day, but reading it requires one Action.","A brass key that has a faint red glow. While held, it allows you to speak Ignan, but also burns for -1 hp per round (unless you are resistant to fire).",An eyeball in a bottle. The iris changes color depending on which plane of existence it is on.,You grow goat horns from the sides of your head.,Cast Meld into Stone 1/Day,"Regulator’s Badge - 150 g A copper broach inlayed with brass depicting a radiant sunrise. In a past civil war, townspeople and villagers of honor bravely banded together to rescue the captured, free the enslaved and hold bandits accountable. These secret vigilantes were known as Regulators, and passed down the role to their children. Upon discretely presenting the badge, the player is seen by law abiding common folk as more trustworthy, and has advantage on charisma checks. Law Enforcement and criminal elements will turn immediately hostile to the party upon seeing the badge.",Prosthetic Tail - A metal tail that straps to your body and functions as a third arm.,Spell scroll (5thlevel),Wand of enemy detection,"Armor, +3 leather"
89,"Dogberry Wine - a gruesome and bizarre trick to play on your enemies. Dogberry wine is sweet and fruity, but, six hours after consuming it, 1d20 dogs, usually greyhounds or smaller breeds, are vomited out of the drinkers mouth, inflicting 3d6 of damage. The victim’s jaw is usually shattered, and those who survive have described the experience as “hurting worse than childbirth” . The dogs are unnaturally clever and loyal to the victim, but impossible to train.","Transmutation Steward, Rare (Requires Attunement) - This small statue appears at first to be a mundane object. If targeted by Detect Magic it registers as highly magical, and if targeted by Identify it reveals its properties. This statue is actually a small semi-sentient creature that awakens upon attunement. Once awakened, it assumes a form of your choice that is small and with challenge rating less than or equal to 1/8. While in this form, it functions as in the Find Familiar spell. If this creature is within 10ft of you, it can jump into your hand and transform into a +1 weapon of your choice. This takes a bonus action on your turn. On subsequent turns it can, as a bonus action, be transformed back into its familiar form or into another weapon form of your choice. If this creature is slain, it reverts back into a statue and recovers over the next 24 hours. After this recovery period, it can then be attuned to again.",An iron pot or pan who’s handle never gets hot.,A quill which can write smokey markings in mid-air. The markings disappear after 1 hour.,"You begin to emit an odd musk from your skin, attracting wild animals to your location.",Cast Misty Step 1/Day,"Ninja Rocks - 20 g Bag containing shards of ultra-dense, triple-fired elven porcelain used in artificing lightning magic, though only in unbroken form. When thrown at an object consisting of glass or non-magical crystal as an attack roll, upon a hit the target shatters instantly regardless of the number of hit points the object has remaining.","Devil Salts - Awakens any creature from sleep or unconsciousness, but they flail and scream in terror for a few seconds first. They have no memory of this afterwards.",Elixir of health,Wand of fear,"Armor, +1 plate"
90,"Throat of the Void: This leather gorget (neck collar) is crafted from dried leather not of animal variety. It is of supreme craftsmanship, despite each seam and stitch made from delicate veins and woven hair. It smells like otherworldly death to all but the wearer. 1/day the wearer can dislocate their jaw, creating a void of dark mist and pure blackness within their throat, summoning forth ""Negative Energy Flood"" as described, using their CHA to set DCs and attack rolls.",Trapper’s Boots - Tall leather boots that are highly resistant to piercing damage. Made for a hunter who tended to forget where he laid his bear traps.,The feather of a Solar that is always immaculate. While holding it you can speak Celestial.,"A leatherbound book, all illustrations made inside become slightly animated.",You gain 1d12 temporary hit points.,Cast Pass Without Trace 1/Day,Gnomish Grocery Grabber - 5 g An extendable wooden stave with a metal jaw at one end actuated by a pull string. It looks kinda fragile. Gives small humanoids the ability to reach objects and activate mechanisms as if they were a medium humanoid. It makes short work of tall tasks.,"Phase Tonic - A dose sends you out of sync with reality for around ten seconds. You can act as normal, but when the tonic wears off, time snaps back to the point before you drank and all actions are undone. The dose is still consumed. 2 doses.",Oil of etherealness,Wand of fireballs,Robe of the archmagi
91,"Amulet of Amun Thuul - This amulet magically attunes itself to the person that touches it and cannot be removed by that person again. The amulet can conjure up to 3 mummies every day that last for 8h and are under the controll of the wearer. The amulet needs to drink the equivalent of 10 years of lifetime out of any assortment of living beings. If some is missing, it will be drained from the wearer of the amulet during the night. Drinking up their lifetime, ages the victims accordingly.","The Traveler's Walking Stick, Rare (Requires Attunement) - This staff functions as a +1 Quarterstaff and an Arcane Focus. This staff has 5 charges, and regains 1d4 charges each dawn. You can spend one charge to deal an additional 1d6 force damage on a successful melee attack. You can spend 3 charges to Counterspell at 3rd level using your reaction without spending a spell slot. If you successfully Counterspell a spell of 5th level or higher you can add 1 charge to the max charges the staff can hold. The DC to counter a spell of 4th level or higher is 10+ the spell’s level, rolling a d20 + your casting modifier.",A horn from a Devil or Demon that allows you to speak Infernal or Abyssal respectively.,A small golden fork that turns into a spoon when tapped against any surface.,"Your hands and feet grow webbing, allowing you to travel much faster in water.",Cast Plant Growth 1/Day,"Colored Flame Powder - 2 g per use This powder can be thrown into flame to change its color. Typically used for stage shows or signal fires. Blue, Red, Green, and Purple are available.",Reconstruction Silk - A handkerchief that repairs any object it is draped over for an hour. The object must be small enough to be covered.,Potion of fire giant strength,Wand of lightning bolts,Rod of resurrection
92,"Dagger of Night: Whenever you attack with this dagger, you can choose to cut abstract things, like shadows or movement of water. Unnatural cuts restore at midnight.","Trueheart Clasp - A small clasp that can be fastened onto the user’s ear, allowing the user to know someone’s true intentions. This gives the wearer Advantage and +2 on all Insight checks.",A hawthorn wand that turns small objects ethereal for an hour.,A silver knight chess piece that whinnies softly when it is stroked.,The potion gives you resistance to necrotic damage for 1d4 hours.,Cast Protection from Good and Evil 1/Day,"Shrieking Ammunition - 6 g These arrows or bolts have a whistle integrated into the shaft so that when shot, they produce a earsplitting shriek. If a hit from these projectiles induces a Concentration check by the target, those rolls are made at -1.","Sabotage Disc - A disc of metal that can be slipped into even the most tightly cased machine, causing it to immediately malfunction in the most serious way possible.",Quaal's feather token,Wand of paralysis,Apparatus of Kwalish
93,"Soul-Devouring Skull - A cursed necromancer's phylactery, it takes an attunement slot of an evil aligned character. Good characters take 2d8 necrotic damage at the beginning of the turn or when they touch the skull. The skull speaks to the user telepathically, telling them to gather souls for the feast. If the user attempts to destroy the skull they must make a dc20 wisdom save or take 8d8 necrotic damage while making the attempt. It consumes the souls of characters and intelligent monsters that have been slayed within 60 feet, they can not be revivified without the power of a wish or similar effect to restore their soul. Once 1000 souls have been consumed, the necromantic power of the skull consumes the user's soul and gains control of their body as a vessel. They become a lich, may cast toll of the dead using the skull, and their necrotic spells deal 2d8 extra necrotic damage while wielding the skull.","Twin Rings of Wonder - requires attunement. If two magic-users wearing these rings high-five as an Action, they can combine their two Spellcasting Ability stats and cast one spell at that level on their next turn. Has 5 charges, can be recharged by heating them with dragonfire.",A dowsing rod that points to any water within 20 feet.,"Gloves made of white silk, that become black for 1 hour when they come in direct contact with poison.",You gain a shiny film over your eyes. You can see in the dark for 1d4 hours.,Cast Purify Food and Drink 1/Day,"Grappling Hook Ammunition - 12 g These arrows or bolts have a hook on the head end and a 50 ft length of silk rope trailing behind. Because of the extra weight, these projectiles have a range of half your weapon's normal range. On a successful attack against an object, DC12 (adjusted according to circumstances), the hook holds and you can climb the rope if the object is heavier than you or pull the object toward you with an appropriate athletics check.","Preserved Soul - A tiny shriveled humanoid that can be thrown into a fire to release a flailing alien apparition (d8 eye-beams, immaterial, lashes out for 1d6 turns before vanishing in a flash of light).",Scroll of protection,"Wand of the war mage, +2",Scarab of protection
94,"The Epic of Abigail - An epoch poem that cannot be stopped once the reader has begun and causes all who listen to eat and drink in gluttonous abandon until it is complete. It will take at least 2 hours to read for the quickest of mind and tongue, potentially much longer if the reader is slow or stutters...","Physician’s Pendant - A pendant with a small cross engraved on it. After casting a spell that restores a creature’s hit points, the wearer rolls a d20. On a 17 or higher roll, the healing spell does not cost the user a spell slot.",An oak wand that can telekinetically move unattended objects 10 ft. per round. The object must be within 15 feet and weigh 1 lb. or less.,A clay spinning top in the shape of a dancing woman. It softly sings a sad song when spun.,You lose all of your spell slots for the day.,Cast See Invisibility 1/Day,"Goggles - 10 g These fit tightly around the eyes. The wearer has resistance to the blinding effect of dust, noxious clouds, liquids, and tiny projectiles.","Animation Oil - When rubbed onto an object, it springs to life for the next hour as your loyal servant. One dose.",Bag of beans,Wand of wonder,Well of many worlds
95,"Alter of Unholy Sacrifice: Cut from a single 10'x10' block of obsidian rock, this alter is adorned with demonic symbols that internally burn with hot fire when non-evil aligned characters are within 25' of it. An evil aligned creature may sacrifice any non-evil aligned creature of small size or larger in order to cast ""Hold Monster"" on a target within 90' of the alter. Non-evil creatures within 25' of the alter make all saves against this at disadvantage. The creature performing the sacrifice may add their own essence to the sacrifice, adding 1 additional target to the hold monster spell, the sacrificer suffers 1d10 damage per additional target. These additional targets also make saves at disadvantage if non-evil and within 25'.",Wabbajack - Requires attunement. A gnarled-wood staff that randomly curses one target with a Wild Magic Surge d100 curse randomly rolled by the caster. Causes no damage.,A statue of a cricket that chirps softly in the dark. The cricket stops chirping if an invisible or incorporeal creature comes within 10 feet.,A small glass terrarium which magically grows a couple of tiny strawberries every day.,All the hair on your body falls off.,Cast Silence 1/Day,"Trapped Scroll Case - 150 g The lid of this scroll case must be unscrewed with a series of clockwise and counterclockwise turns known only to the seller and buyer. Upon failure, a needle of poison springs out from the case. The poison is Serpent Venom, requiring a DC11 CON saving throw, taking 3d6 damage on a failed thow or half on success. The trap can be detected with a DC12 Investigation check and disarmed with a DC15 Thieves' Tools check, triggering the trap upon failure.",Pain Wire - Causes instant agony when touched by bare skin (you have gloves). 20m in length when uncoiled.,Sending Stones,Wings of flying,Armor of invulnerability
96,"Belhoric Idol- a small, soft, dark clay statue of a bulbous humanoid, with flecks of a dark red mineral barely visible under the brightest light. It can be pressed into the face of an unconscious (or in the case of a construct, inactivated), non-undead creature as a bonus action, at which point it reshapes into a thin mask of the same material over the victim's face. If the victim doesn't regain consciousness within 10 minutes, the idol puts the victim's body under your control; it understands and obeys your spoken commands. If the victim dies, makes a successful Wisdom save (which can only happen once per week), or is affected by remove curse, it collapses unconscious and expels the idol from its face. The idol can only be used again after it has spent a night and a day in uninterrupted darkness. Requires attunement.",Water-Repellent Bedroll - A bedroll that creates a mild water repellent barrier around it as long as someone is laying on it. A gift made for a traveling merchant so that he wouldn’t worry about sleeping in the rain. Allows the user to survive in inclement weather without receiving damage.,A collar that lets a dog or cat speak in common. It doesn’t change the animal’s intelligence.,A 4-inch square glass vial that turns any salt water into salt over the course of a day.,You instantly become 1d6 years younger.,Cast Slow 1/Day,"Battle Aspergillum - 50 g Mace with a hollow head and reservoir to contain holy water. Filling the reservoir takes an action. Upon a successful hit, enemies take 1 point radiant damage from holy water in addition to the 1d6 bludgeoning damage from the mace. After 5 hits, the reservoir must be refilled.","Hunger Clamp - A small clamp that can be clipped onto loose skin, causing the victim to have a ceaseless hunger, which they'll do anything to sate. They suffer no ill effect from over-eating, but will not starve any faster than normal.",Chime of opening,Vorpal Sword,Belt of storm giant strength
97,"The Twisted Seed of Darkness: This small withed seed, so blacked and hardened that you may mistake it for a rock, holds a dark secret. It is the concentrated mass of the first god of evil. When the seed is planted in ground where at least 1000 people have died and their corpses were left to rot, the seed begins to root. After a week of growing, a small black stem with a single white leaf will grow out of the ground. The tree must be in total darkness at all times and once a day, a person must be slain next to the tree for it to grow. If you use more people, this process can be sped up. Once the tree is a thick as your arm you must sacrifice 2 people each day. Once it is as wide as your chest, you must sacrifice 3 people, one person must break there oath every month, and you must nourish it with the heart of a powerful being every half year (dragons, powerful demons, high level players all count). If you fail to meet its requirements, the tree will begin to shrink and will eventually become the seed once again. When the tree is as tall as a 2 story house, it should be fully mature and in the next 6 months, the god of evil will be slowly summoned to this world and revived, destroying the world.","Wind Sword - A steel cutlass that resembles a giant feather. Has five charges. One charge can be expended to give one attack a Gust knockback effect of 10 feet, or all five can be expended at once to imbue one attack with 50 foot Gust knockback.",An acorn that prevents you from being hit by natural lightning.,A solid gold lockpick that whispers 'jackpot' when it opens a lock.,You completely forget the last 24 hours.,Cast Speak with Dead 2/Day,Wooden Stilts - 4 g These raise your height by 3 to 6 feet. Movement must be made at half speed. Attempting to move at regular speed requires a Acrobatics check of DC10 + the height of the stilts.,"Proxy Chain - When two or more beings are in contact with the chain, any harmful effects that affect one of them affect all instead.",Decanter of endless water,Blackstaff,Cubic gate
98,Whetstone of the Fleshrender - Once per week for eight hours all non-magical weapons get -1 and all unarmed and beast attacks gain +1. The radius extends for 30 feet and floats within 5 feet of a random Party member giving them +1 AC.,"Wizard’s Dreidel - A wooden top that will keep spinning as long as someone is looking at it. Made to teach concentration to a young boy who had problems focusing on one thing at a time. Once a day, it grants +2 to the user’s spellcasting ability for 1d4 hours.",A finger bone from an executed man in a small wooden box. You have +1 on death saving throws while it’s in your possession.,"A fishing rod which can magically turn into a walking cane, and back.",You are instantly teleported to the location you found the potion.,Cast Stone Skin 1/Day,"Parachute - 200 g If the player is falling more than 60 feet, this silk sheet can be deployed with a reaction. You fall 60 feet per round and take no damage from the fall. Acrobatics check of DC12 to land on your feet.","Tin Buddy - A can that springs out to a 2ft tall automaton (2hp, Armour 1). He is loud, annoying, and doesn't do a good job of whatever you request. Has no real means of fighting.",Eyes of minute seeing,Holy Avenger,Deck of many things
99,"The Chopping Block - Very Rare, Requires Attunement. A large cleaver and a heavy cutting board, both stained with congealed blood that never truly dries. When a living creature's hand is placed on the board and severed with the cleaver, it becomes a Crawling Claw permanently under the control of the attuned. As a bonus action, the attuned may telepathically command any Crawling Claw within 100ft. Multiple Crawling Claws may be commanded at the same time, but they all receive the same command. Each Crawling Claw created by this item, uses the Crawling Claw stat block from the Monster Manual.",Vest of Buoyancy - A small leather vest enchanted to magically float when exposed to water. Commissioned by a noble after his daughter almost drowned in the estate fish pond.,"A picnic basket, keeps all food inside fresh for three times as long.",A small painting which turns into a mirror when a creature comes within 1 foot of it.,Your breath is now a light flurry of snow.,Cast Tongues 1/Day,"Barometer - 200 g This device can be used to predict the weather. During a rest, the party may consult the barometer. The DM makes a d20 roll. On 20, the weather for the next day is predicted accurately and precisely for temperature, wind and precipitation (e.g. ""There will be light rain in the morning, but clear in the afternoon. The temperature will fall after the rain with a stiff breeze."") On a 19-15, the weather for the next day is predicted accurately but not precisely (e.g. ""It will rain and be cool and windy""). On a 14-10, either wind, precipitation, or temperature is predicted inaccurately, but the others are correct. On a 9-2, two factors are inaccurate, and with a 1 all three are inaccurate.",Broken Basilisk Symbol - Two pieces of an astral symbol set in lead. Anyone that pushes the pieces together while looking at it loses d20 WIL.,Periapt of health,Luck Blade,Efreeti chain
100,"Soul Chessboard: White figures seem to have faces of your friends and allies, black figures have faces of your enemies. A mysterious force will play against you. Will you take the first turn?",Belt of Lasso - A belt that can turn into a whip using a command word ('unfurl'). The command word can also cause it to turn back into a belt.,A ring of stone that can light and extinguish a candle up to 30 ft away.,"A pair of fine clothes. When taken off and left undisturbed, they neatly fold themselves.","For the next 1d4 hours, fire damage heals you instead of hurts you.",Cast Unseen Servant 1/Day,Pocketwatch - 300 g This incredible achievement of Gnomish engineering tells time.,Gallon-Syringe - A tiny syringe that can draw up to a bath-sized amount of liquid.,Necklace of fireballs,Eye of Vecna,Armor of resistance (half plate)
